,state,vet_pop_2005,overall_pop_18_2005,vet_pop_p_2005,vet_suicides_2005,all_suicides_2005,vet_suicides_p_2005,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
0,Alabama,403950,3344721,0.120772405,135,535,0.252336449,,0,,0,,,,,,,,,,,,,,,,33.41997772,13.60187515
1,Alaska,74482,446969,0.166637955,24,131,0.183206107,22,0.916666667,2,0.083333333,1,,,1,,,4,,,9,,,5,,4,32.22255041,28.72583473
2,Arizona,538880,4238996,0.127124442,225,945,0.238095238,,0,,0,,,,,,,,,,,,,,,,41.75326603,19.4588494
3,Arkansas,259304,2023819,0.128126082,81,400,0.2025,79,0.975308642,2,0.024691358,,,5,,,,35,,,,,,16,,25,31.23746645,18.07862217
4,California,2193336,25543447,0.085866876,633,3206,0.197442296,613,0.968404423,20,0.031595577,20,,,,,76,,,,,,220,,,317,28.86014728,11.01921957
5,Colorado,402091,3371999,0.119244104,191,800,0.23875,183,0.958115183,8,0.041884817,7,,,15,,,24,,,35,,,39,,71,47.50168494,20.5056857
6,Connecticut,261294,2559377,0.102092814,52,295,0.176271186,,0,,0,,,,,,,,,,,,,,,,19.90095448,10.57403062
7,Delaware,79151,620779,0.127502702,17,83,0.204819277,17,1,0,0,0,,,0,,,4,,,3,,,2,,8,21.47793458,12.18548524
8,Florida*,1717801,13289030,0.129264589,540,2347,0.230080954,,0,,0,,,,,,,,,,,,,,,,31.43553881,15.61631872
9,Georgia,731466,6437595,0.11362411,182,924,0.196969697,,0,,0,3,,,12,,,24,,,27,,,44,,70,24.88153926,13.00356161
10,Hawaii,116793,917646,0.12727457,15,107,0.140186916,,0,,0,,,,,,,,,,,,,,,,12.84323547,11.48775119
11,Idaho,132844,1019061,0.130359223,65,228,0.285087719,63,0.969230769,2,0.030769231,2,,,4,,,,,18,,,,15,,26,48.92957153,18.39278642
12,Illinois,853338,9197524,0.0927791,219,1086,0.201657459,,0,,0,10,,,15,,,32,,,34,,,51,,77,25.66392215,10.39046829
13,Indiana,505259,4496185,0.112375047,112,745,0.15033557,111,0.991071429,1,0.008928571,,2,,,9,,,17,,,23,,,59,,22.16684908,15.86098063
14,Iowa,249911,2192545,0.113982153,70,333,0.21021021,,0,,0,,,,,,,,,,,,,,,,28.00997155,13.53831962
15,Kansas,238506,1981969,0.120337906,86,362,0.237569061,82,0.953488372,4,0.046511628,2,,,5,,,16,,,15,,,19,,28,36.0577931,15.83056251
16,Kentucky,341752,3073085,0.111208118,44,566,0.077738516,,0,,0,,,,,,,,,,,,,,,,12.87483321,19.11154737
17,Louisiana,337822,3234969,0.104428203,101,505,0.2,,0,,0,,8,,,12,,,11,,,23,,,47,,29.89740159,13.94475323
18,Maine,145352,1003350,0.144866697,49,175,0.28,,0,,0,,,,,,,,,,,,,,,,33.71126644,14.68534892
19,Maryland,480654,4038360,0.119022078,105,472,0.222457627,,0,,0,4,,,8,,,18,,,16,,,13,,48,21.84523587,10.31563597
20,Massachusetts,453249,4725900,0.095907446,51,480,0.10625,49,0.960784314,2,0.039215686,0,,,2,,,1,,,6,,,8,,33,11.25209322,10.04060477
21,Michigan,782823,7347736,0.106539348,232,1108,0.209386282,225,0.969827586,7,0.030172414,3,,,17,,,37,,,39,,,49,,87,29.63632903,13.34366503
