,Unnamed: 0,state,vet_pop_2005,overall_pop_18_2005,vet_pop_p_2005,vet_suicides_2005,all_suicides_2005,vet_suicides_p_2005,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
0,0,Alabama,403950,3344721,0.120772405232006,135,535,0.25233644859813104,,0.0,,0.0,,,,,,,,,,,,,,,,33.4199777200148,13.6018751545088
1,1,Alaska,74482,446969,0.16663795475748902,24,131,0.18320610687022898,22.0,0.916666666666667,2.0,0.083333333333333,1.0,,,1.0,,,4.0,,,9.0,,,5.0,,4.0,32.2225504148653,28.725834727118002
2,2,Arizona,538880,4238996,0.127124441731014,225,945,0.23809523809523803,,0.0,,0.0,,,,,,,,,,,,,,,,41.75326603325421,19.458849398235103
3,3,Arkansas,259304,2023819,0.128126082421402,81,400,0.2025,79.0,0.9753086419753091,2.0,0.024691358024691003,,,5.0,,,,35.0,,,,,,16.0,,25.0,31.237466448647197,18.078622170964803
4,4,California,2193336,25543447,0.085866876150271,633,3206,0.197442295695571,613.0,0.9684044233807271,20.0,0.031595576619273,20.0,,,,,76.0,,,,,,220.0,,,317.0,28.8601472824957,11.019219566022599
5,5,Colorado,402091,3371999,0.11924410416491801,191,800,0.23875,183.0,0.958115183246073,8.0,0.041884816753927,7.0,,,15.0,,,24.0,,,35.0,,,39.0,,71.0,47.5016849419659,20.5056856980082
6,6,Connecticut,261294,2559377,0.10209281399340499,52,295,0.17627118644067802,,0.0,,0.0,,,,,,,,,,,,,,,,19.900954480393697,10.5740306159525
7,7,Delaware,79151,620779,0.12750270224991497,17,83,0.20481927710843398,17.0,1.0,0.0,0.0,0.0,,,0.0,,,4.0,,,3.0,,,2.0,,8.0,21.4779345807381,12.185485240792598
8,8,Florida*,1717801,13289030,0.12926458891281,540,2347,0.230080954409885,,0.0,,0.0,,,,,,,,,,,,,,,,31.435538808045898,15.616318716015401
9,9,Georgia,731466,6437595,0.11362410962478998,182,924,0.196969696969697,,0.0,,0.0,3.0,,,12.0,,,24.0,,,27.0,,,44.0,,70.0,24.8815392649829,13.003561608929601
10,10,Hawaii,116793,917646,0.127274569932196,15,107,0.14018691588785,,0.0,,0.0,,,,,,,,,,,,,,,,12.843235467879099,11.4877511852987
11,11,Idaho,132844,1019061,0.130359222853195,65,228,0.285087719298246,63.0,0.969230769230769,2.0,0.030769230769231003,2.0,,,4.0,,,,,18.0,,,,15.0,,26.0,48.92957152750589,18.392786416870802
12,12,Illinois,853338,9197524,0.092779100114335,219,1086,0.201657458563536,,0.0,,0.0,10.0,,,15.0,,,32.0,,,34.0,,,51.0,,77.0,25.6639221504257,10.3904682853426
